nom,lat_coor1,x,long_coor1,y,adr_num,adr_voie,com_cp,com_insee,com_nom,acc,acc_lib,acc_pcsec,acc_acc,acc_etg,acc_complt,photo1,photo2,disp_j,disp_h,disp_compl,tel1,tel2,site_email,date_insta,etat_fonct,fab_siren,fab_rais,mnt_siren,mnt_rais,modele,num_serie,id_euro,lc_ped,dtpr_lcped,dtpr_lcad,dtpr_bat,freq_mnt,dispsurv,dermnt,expt_siren,expt_rais,expt_tel1,expt_tel2,expt_email,ref,id,appartenan,dae_mobile,date1insta,chgtpiles
"Plateau sportif de GrammontTerrain 9, 10, 11",3.93392108647369,775412.3055,43.6136351580956,6279844.1872, ,avenue albert Einstein,34000,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,-,334 67 64 87 70, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955734, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-05-15,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,GARCIA  Serge,22,Mairie,non,,
MEDIATHEQUE JEAN-JACQUES ROUSSEAU, ,0, ,0, , ,0,0, , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,Métropole, ,,
MEDIATHEQUE William SHAKESPEARE, ,0, ,0, , ,0,0, , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,Métropole, ,,
MIBI, ,0, ,0, , ,0,0, , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,Métropole, ,,
MAISON POUR TOUS LEO LAGRANGE, ,0, ,0,155,Rue de Bologne,34172,34080,Montpellier,intérieur,oui,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,+334 67 40 33 57, , ,2020-10-06,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215834, , ,2021-08-17,2024-12-28,2025-10-06,Tous les ans, ,2020-10-06,213401722,personne morale,+334 67 34 70 00, ,mairie@ville-montpellier.fr, ,0,Mairie,non,,
Piscine M. SPILLIAERT,3.84314264933544,768100.68,43.5982457955311,6278051.43,154,rue C.Desmoulins,0,34172,Montpellier, , , , ,0, , , , , , ,334 67 42 00 92, , , , , , , , , , , , , , , , , , , , , , , , ,40,Métropole, ,,
Hôtel de Ville,3.8965223400675,772411.37,43.5987299511122,6278152.73,1,place Georges Frêche,34267,34172,Montpellier,intérieur,non,oui,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 70 00,334 67 34 44 93, ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955733, ,oui,2020-11-10,2023-01-14,2022-12-1,tous les ans, ,2019-05-15,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,FROMENTY Laure,2,Mairie,non,,
Centre municipal Garosud,3.85859224065433,769379.52,43.5725732270947,6275211.76,3490,avenue Etienne Méhul,34070,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 74 62, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955711, ,oui,2021-02-02,2023-01-14,2022-12-1,tous les ans, ,2019-11-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,EVESQUE Olivier,4,Mairie,non,,
MOCO, ,0, ,0, , ,0,0, , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,Métropole,Métropole,,
Le Petit Prince de Boutonnet, ,0, ,0,20,Rue Emile Littré,34090,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,+334 67 72 13 12, , ,2020-11-06,En fonctionnement, ,ZOLL, , ,AED PLUS,X20H297632, , ,2022-09-05,2025-11-01,2025-11-06,Tous les ans, ,2020-11-06,213401722,personne morale,+334 67 34 70 00, ,mairie@ville-montpellier.fr, ,0,Mairie,non,,
EHPAD Pierre LAROQUE, ,0, ,0,830,rue de Salaison,34000,34172,Montpellier, , , , ,0, , , , , , ,+334 67 16 67 00, , , ,En fonctionnement, , , , , ,X19G179186, , , , , , , , , , , , , , ,0,CCAS, ,,
BELEM, ,0, ,0, , ,0,0, , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,Métropole, ,,
EHPAD Françoise GAUFFIER, ,0, ,0,135,Zac Ovalie  rue André Puig Aubert,34000,34172,Montpellier, , , , ,0, , , , , , ,+334 99 54 96 70, , , ,En fonctionnement, , , , , ,X19G179156, , , , , , , , , , , , , , ,0,CCAS, ,,
Crèche Edelweiss, ,0, ,0,21,rue Général Riu,34000,34172,Montpellier,Intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,+334 67 64 08 11, , ,2020-11-05,En fonctionnement, ,ZOLL, , ,AED PLUS,X20H297636, , ,2022-09-05,2025-11-01,2025-11-05,Tous les ans, ,2020-11-05,213401722,personne morale,+334 67 34 70 00, ,mairie@ville-montpellier.fr, ,123,Mairie,non,,
Crèche Robin des bois, ,0, ,0,280,boulevard Pénélope,34000,34172,Montpellier,non,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,+334 99 64 22 50, , ,2020-11-09,En fonctionnement, ,ZOLL, , ,AED PLUS,X20H297627, ,oui,2022-09-05,2025-11-01,2025-11-09,Tous les ans, ,2020-11-09,213401722,personne morale,+334 67 34 70 00, ,mairie@ville-montpellier.fr, ,125,Mairie,non,,
EHPAD Simone DEMANGEL, ,0, ,0,570,rue Rouget de l'Isle,34000,34172,Montpellier, , , , ,0, , , , , , ,+334 67 42 80 33, , , ,En fonctionnement, , , , , ,X19G179148, , , , , , , , , , , , , , ,0,CCAS, ,,
Ecole maternelle Louis-Figuier - Ecole élémentaire Paul Bert- Victor Hugo,3.8818749427812,771221.6974,43.6040988665753,6278736.0725,14,rue Farges,34000,34172,Montpellier,intérieur,non,non,non,0,DAE sur Ecole FIGUIER, , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,334 67 65 64 89, , ,2019-12-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X19J215359, , ,2021-08-17,2024-12-28,2024-12-01,Tous les ans, ,2019-12-01,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr, ,103,Mairie,non,,
Crèche JOSEPHINE BAKER, ,0, ,0,164,avenue Jean Prat,34070,34172,Montpellier,non,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,+334 99 54 53 50, , ,2020-11-10,En fonctionnement, ,ZOLL, , ,AED PLUS,X20H297933, ,oui,2022-09-05,2025-11-01,2025-11-10,Tous les ans, ,2020-11-10,-,personne morale,+334 99 54 53 50, ,creche.josephinebaker@people-and-baby.com, ,126, ,non,,
EHPAD "Michel BELORGEOT", ,0, ,0,41,impasse des Moulins,34000,34172, , , , , ,0, , , , , , ,+334 67 40 04 44, , , ,En fonctionnement, , , , , ,X19G179146, , , , , , , , , , , , , , ,0,CCAS, ,,
EHPAD Montpellieret, ,0, ,0,3,rue Fabre,34000,34172, , , , , ,0, , , , , , ,+334 67 66 14 98, , , ,En fonctionnement, , , , , ,X19J214365, , , , , , , , , , , , , , ,0,CCAS, ,,
Club La Cavalerie, ,0, ,0,28,rue de la Cavalerie,34000,34172,Montpellier, , , , ,0, , , , , , ,+334 67 52 77 92, , , ,En fonctionnement, , , , , ,X19J214495, , , , , , , , , , , , , , ,0,CCAS, ,,
MEDIATHEQUE Victor HUGO, ,0, ,0, , ,0,0, , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,Métropole, ,,
EHPAD "Mathilde LARTIGUE", ,0, ,0,50,rue Louis Pergaud,34000,34172,Montpellier, , , , ,0, , , , , , ,+334 67 75 25 70, , , ,En fonctionnement, , , , , ,X19H186339, , , , , , , , , , , , , , ,0,CCAS, ,,
MEDIATHEQUE GARCIA LLORCA, ,0, ,0, , ,0,0, , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,Métropole, ,,
Crèche Antigone, ,0, ,0,10,rue Jeanne d'Arc,34000,34172,Montpellier,intérieur,non,non,non,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables,Fermeture possible pendant les vacances scolaires,+334 67 64 28 15, , ,2020-11-10,En fonctionnement, ,ZOLL, , ,AED PLUS,X20H297827, ,oui,2022-09-05,2025-11-01,2025-11-10,Tous les ans, ,2020-11-10,213401722,personne morale,+334 67 34 70 00, ,mairie@ville-montpellier.fr, ,127,Mairie,non,,
"Maison pour tous  
Mélina Mercouri",3.90814703437764,773331.2894,43.6135606367422,6279811.6299,842,rue de la Vieille Poste,34000,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 99 92 23 80, , ,2017-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X17I955719, ,oui,2020-11-10,2023-01-14,2022-12-1,tous les ans, ,2019-01-10,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,En attente,33,Mairie,non,,
Cimetière Saint-Etienne,3.93489103090574,775487.6784,43.6158729699952,6280093.8051,2,Rue Richard Wright,34000,34172,Montpellier,intérieur,oui,oui,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi, samedi, dimanche",Heures ouvrables, ,334 34 88 92 09, , ,2013-06-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X13D599866, ,oui,2021-03-16,2022-01-01,2022-10-01,tous les ans, ,2019-05-15,213401722,personne morale, , ,mairie@ville-montpellier.fr,Henry LANET,35,Mairie,non,,
Cuisine Centrale,3.84157511981743,767972.6842,43.5994202550643,6278180.6018,950, allée de la Martelle,34070,34172,Montpellier,intérieur,non,non,oui,0, , , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 15 92 69, , ,2015-01-01,En fonctionnement,213401722,ZOLL, , ,AED PLUS,X14I707646, ,non,-,2024-09-22,2024-08-01,tous les ans, ,2019-10-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier,Macedo aude,190,Mairie,non,,
Centre de Culture Contemporaine La Panacée,3.8782667806068,770919.8,43.6125997375577,6279677.55,14, rue école de pharmacie,34000,34172,Montpellier,intérieur,non,non,oui,0,Réfectoire, , ,"mercredi, jeudi, vendredi,samedi, dimanche",Heures ouvrables, ,334 34 88 79 79, , ,2015-01-01,En fonctionnement, ,ZOLL, , ,AED PLUS,X14I707697, ,non,-,2020-02-24,2024-10-01,tous les ans, ,2019-10-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,SCHMITT,191,Mairie,non,,
Ancien Hôtel de Ville (Poste de Police Municipale),3.88414277239073,771398.37,43.6093009254496,6279316.24,1, place Françis Ponge,34000,34172,Montpellier,intérieur,non,non,non,0,niveau moins 2, , ,"lundi, mardi, mercredi, jeudi, vendredi",Heures ouvrables, ,334 67 34 71 45, , ,2015-12-1,En fonctionnement, ,ZOLL, , ,AED PLUS,X15F763642, ,oui,2021-05-25,2020-10-18, ,tous les ans, ,2019-11-07,213401722,personne morale,334 67 34 70 00, ,mairie@ville-montpellier.fr,LEMER Delphine - ZEROUKI Thierry,192,Mairie,non,,
